"SLI DAILY TRACKING REPORT as of __Aug.1, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","38","34","72","34","20","33","34","509","6.68%",,,,
"Mountain Province","","7","2","9","0","0","9","0","15","0.00%",,,,
"Ilocos Sur","","15","16","31","4","0","28","4","265","1.51%",,,,
"Ilocos Norte","","91","29","120","13","8","102","13","296","4.39%",,,,
"Abra","","-4","1","-3","1","0","-4","1","43","2.33%",,,,
"Nueva Vizcaya","","8","8","16","1","0","15","1","222","0.45%",,,,
"Ifugao","","11","1","12","0","0","12","0","24","0.00%",,,,
"Isabela","","2","8","10","0","0","10","0","265","0.00%",,,,
"Quirino","","-1","1","0","0","0","0","0","38","0.00%",,,,
"Kalinga","","-1","1","0","0","0","0","0","28","0.00%",,,,
"Cagayan","","15","17","32","5","0","28","5","239","2.09%",,,,
"Apayao","","3","0","3","0","0","3","0","9","0.00%",,,,
"OVER ALL TOTAL","20","184","118","302","58","28","236","58","1953","2.97%",,,,
"SLI DAILY TRACKING REPORT as of __Aug.2, 2026__",,,,,,,,,,,,,
"FIBERX",,,,,,,,,,,,,
"AREA","FROM RJO","BF","INC","Total Jo","TOTAL COMPLETED","RJO","Carry Over","MTD","TARGET","%",,,,
"Benguet","","33","23","56","7","34","16","41","509","8.06%",,,,
"Mountain Province","","9","0","9","0","0","9","0","15","0.00%",,,,
"Ilocos Sur","","28","2","30","8","5","17","12","265","4.53%",,,,
"Ilocos Norte","","102","19","121","7","4","110","20","296","6.76%",,,,
"Abra","","-4","0","-4","0","2","-6","1","43","2.33%",,,,
"Nueva Vizcaya","","15","3","18","0","0","18","1","222","0.45%",,,,
"Ifugao","","12","0","12","0","0","12","0","24","0.00%",,,,
"Isabela","","10","2","12","0","0","12","0","265","0.00%",,,,
"Quirino","","0","0","0","0","0","0","0","38","0.00%",,,,
"Kalinga","","0","0","0","0","0","0","0","28","0.00%",,,,
